Year,Event,Representation,ID,,,,,
1501,Henry VII. grants patent for colonizing America.,"To represent this event, the 6th subdivision of the square on the upper left hand is painted purple, which is the color for England.",England_type5year0,,,,,
1512,Ponce de Leon discovers Florida.,ighth subdivision of the twelfth square is brick red for Spain.,Spain_type7year11,,,,,
1517,Sebastian Cabot's last voyage in the English service.,"Eighth subdivision, purple.",England_type7year16,,,,,
1520,Vasquez de Ayllon’s Piracy on Chicora.,"Eighth, brick red.",Spain_type7year19,,,,,
1523,Verrazzani explores American coasts for France.,"Eighth subdivision, blue, for France.",France_type7year22,,,,,
1525,Stephen Gomez tries to discover North West Passage to India for Spain. ,"Eighth subdivision, brick red.",Spain_type7year24,,,,,
1526,Pamphilo de Narvaez attempts to conquer Florida.,"Eighth, brick red.",Spain_type7year25,,,,,
1534,James Cartier discovers River St. Lawrence.,"Eighth, blue.",France_type7year33,,,,,
1537,Ferdinand de Soto attempts to conquer Florida.,"Eighth, brick red.",Spain_type7year36,,,,,
1540,Roberval and Cartier try in vain to colonize Canada.,"Eighth, blue.",France_type7year39,,,,,
1542,Ferdinand de Soto dies on the Mississippi.,"Ninth, brick red.",Spain_type8year41,,,,,
1562,Coligny sends a Huguenot Colony to America.,"Eighth, blue.",France_type7year61,,,,,
1565,"St. Augustine, founded by the Spanish Melendez, who conquers the French colony.","First and upper half of second, brick red, to represent the conquering Spaniards; also, fifth to represent the foundation of St. Augustine; and eighth, the deed of Melendez, a remarkable person. Blue in the lower half of the second, and in the third, to represent French loss. ",special,,,,,
1576,Martin Frobisher renews English Explorations. ,"Eighth, purple.",England_type7year75,,,,,
1578,Sir Humphrey Gilbert’s Voyage and Death.,"Eighth, purple.",England_type7year77,,,,,
1579,"Sir Francis Drake discovers Oregon, and names it New Albion.","Eighth, purple.",England_type7year78,,,,,
1584,Sir Walter Raleigh gets patent to colonize.,"Eighth, purple.",England_type7year83,,,,,
1585,"Sir W. R.’s unsuccessful colony at Roanoke, carried out by Sir Richard Grenville.","Eighth, purple.",England_type7year84,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
