year,color,country,eventType,text
1501,#720042,England,5,Spain: something
1512,#BA390B,Spain,7,
1517,#720042,England,7,
1520,#BA390B,Spain,7,
1523,#6EA2A3,France,7,
1525,#BA390B,Spain,7,
1526,#BA390B,Spain,7,
1534,#6EA2A3,France,7,
1537,#BA390B,Spain,7,
1540,#6EA2A3,France,8,
1542,#BA390B,Spain,8,
1562,#6EA2A3,France,7,
1565,#BA390B,Spain,0,
1565,#BA390B,Spain,1,
1565,#BA390B,Spain,4,
1565,#BA390B,Spain,7,
1565,#6EA2A3,France,1,
1565,#6EA2A3,France,2,
1576,#720042,England,7,
1578,#720042,England,7,
1579,#720042,England,7,
1584,#720042,England,7,
1585,#720042,England,7,
